Node Number	X Location (m)	Y Location (m)	Z Location (m)	Vector Deformation ()
1271	0,23243	1,4379	2,2794	4,2056e-002	1,7345e-005	-9,039e-002
1272	0,23245	1,4711	2,2794	4,2056e-002	1,7273e-005	-9,0391e-002
1297	0,26184	1,4713	2,2764	4,2117e-002	1,719e-005	-8,9715e-002
1298	0,26184	1,4379	2,2764	4,2117e-002	1,7265e-005	-8,9713e-002
1299	0,26184	1,4037	2,2764	4,2117e-002	1,7342e-005	-8,9712e-002
1303	0,26184	1,375	2,2764	4,2117e-002	1,7357e-005	-8,9711e-002
1307	0,26184	1,5	2,2764	4,2117e-002	1,7175e-005	-8,9716e-002
1311	0,23246	1,5	2,2794	4,2056e-002	1,7256e-005	-9,0392e-002
1315	0,20331	1,5	2,2824	4,1995e-002	1,7337e-005	-9,1062e-002
1325	0,20331	1,4039	2,2824	4,1995e-002	1,7499e-005	-9,1059e-002
1326	0,20331	1,4378	2,2824	4,1995e-002	1,7424e-005	-9,106e-002
1327	0,20331	1,4709	2,2824	4,1995e-002	1,7352e-005	-9,1061e-002
1331	0,20331	1,375	2,2824	4,1995e-002	1,7514e-005	-9,1058e-002
1335	0,2324	1,375	2,2794	4,2055e-002	1,7436e-005	-9,0389e-002
1345	0,11593	1,4037	2,2883	4,1846e-002	1,5997e-005	-9,3047e-002
1346	0,11592	1,4381	2,2883	4,1846e-002	1,5928e-005	-9,3049e-002
1347	0,11591	1,471	2,2883	4,1845e-002	1,5861e-005	-9,3051e-002
1372	0,14493	1,471	2,2868	4,1871e-002	1,5963e-005	-9,2397e-002
1373	0,14493	1,4383	2,2868	4,1871e-002	1,6032e-005	-9,2396e-002
1374	0,14493	1,4039	2,2868	4,1871e-002	1,6103e-005	-9,2394e-002
1378	0,14493	1,375	2,2868	4,1872e-002	1,6114e-005	-9,2392e-002
1382	0,14493	1,5	2,2868	4,1871e-002	1,5952e-005	-9,2399e-002
1386	0,11589	1,5	2,2883	4,1845e-002	1,5843e-005	-9,3052e-002
1390	8,6756e-002	1,5	2,2898	4,1819e-002	1,5746e-005	-9,3709e-002
1400	8,6756e-002	1,4034	2,2898	4,182e-002	1,5893e-005	-9,3704e-002
1401	8,6756e-002	1,438	2,2898	4,182e-002	1,5824e-005	-9,3705e-002
1402	8,6756e-002	1,4711	2,2898	4,182e-002	1,5757e-005	-9,3707e-002
1406	8,6756e-002	1,375	2,2898	4,182e-002	1,5902e-005	-9,3702e-002
1410	0,11594	1,375	2,2883	4,1846e-002	1,6015e-005	-9,3045e-002
1420	1,3531e-016	1,4037	2,2912	3,2763e-002	1,4702e-005	-9,304e-002
1421	1,3184e-016	1,438	2,2912	3,2763e-002	1,464e-005	-9,3042e-002
1422	1,3878e-016	1,4709	2,2912	3,2763e-002	1,4578e-005	-9,3044e-002
